idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
0,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
21,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
40,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
44,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
45,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
51,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
60,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
67,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
71,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
75,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
79,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
80,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
82,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
85,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
108,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
117,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.27894294565112987,0.09090909090909091
119,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
123,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
133,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
136,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
137,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
137,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
138,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
149,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
160,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.25,0.06666666666666667
161,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
162,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
163,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
167,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
179,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
182,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
187,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
188,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
189,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
191,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
200,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
208,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
211,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
226,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
