idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
0,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
21,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
40,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
44,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
51,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
60,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
67,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
71,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
75,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
79,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.26264953503719357,0.07692307692307693
80,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
82,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
85,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
108,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
111,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
117,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
119,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
123,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
133,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.24465054211822604,0.0625
136,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
137,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
137,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
138,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
149,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
155,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
160,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
161,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.2559580248098155,0.07142857142857142
162,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
163,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
167,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
179,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
182,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
187,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
188,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
189,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
191,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
200,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
208,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
211,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
226,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
